Metric,Baseline,Promoted,Variance
Total Units Sold,15000.0,19200.0,4200.0
Net Selling Price / Unit,1757.5,1628.0,-129.5
Gross Revenue,26362500.0,31257600.0,4895100.0
Total Cost of Goods Sold,17250000.0,22080000.0,4830000.0
Gross Profit,9112500.0,9177600.0,65100.0
Realized Gross Margin %,34.57,29.36,-5.21
Trade Discount Concession Cost,1387500.0,4262400.0,2874900.0
Total Promotion Cost (Discount + Budget),0.0,4612400.0,4612400.0
Net Incremental Gross Profit,0.0,65100.0,65100.0
Promotion Effectiveness Index (PEI),0.0,0.01,0.01
